symbol,name,price,exchange,exchangeShortName,type
WDI,Western Asset Diversified Income Fund,19.52,New York Stock Exchange,NYSE,fund
UGIC,UGI Corporation,100.45,New York Stock Exchange,NYSE,stock
SUNL,Sunlight Financial Holdings Inc.,5.47,New York Stock Exchange,NYSE,stock
SPIR,"Spire Global, Inc.",13.85,New York Stock Exchange,NYSE,stock
RTPZ,Reinvent Technology Partners Z,9.79,New York Stock Exchange,NYSE,stock
PV,Primavera Capital Acquisition Corporation,9.75,New York Stock Exchange,NYSE,stock
PDO,Pimco Dynamic Income Opportunities Fund,20.88,New York Stock Exchange,NYSE,fund
OWLT,"Owlet, Inc.",5.53,New York Stock Exchange,NYSE,stock
NMG,Nouveau Monde Graphite Inc.,5.79,New York Stock Exchange,NYSE,stock
NDMO,Nuveen Dynamic Municipal Opportunities Fund,16.18,New York Stock Exchange,NYSE,fund
MKFG,Markforged Holding Corporation,7.48,New York Stock Exchange,NYSE,stock
KAHC,KKR Acquisition Holdings I Corp.,9.78,New York Stock Exchange,NYSE,stock
JWSM,Jaws Mustang Acquisition Corporation,9.76,New York Stock Exchange,NYSE,stock
JPM-PK,JPMorgan Chase & Co.,26.37,New York Stock Exchange,NYSE,stock
JBI,"Janus International Group, Inc.",12.77,New York Stock Exchange,NYSE,stock
GENI,Genius Sports Limited,19.22,New York Stock Exchange,NYSE,stock
GB,Global Blue Group Holding AG,6.35,New York Stock Exchange,NYSE,stock
FREY,FREYR Battery,9.73,New York Stock Exchange,NYSE,stock
FERG,Ferguson plc,145.73,New York Stock Exchange,NYSE,stock
CVII,Churchill Capital Corp VII,9.72,New York Stock Exchange,NYSE,stock
CSAN,Cosan S.A.,17.75,New York Stock Exchange,NYSE,stock
CPUH,Compute Health Acquisition Corp.,9.73,New York Stock Exchange,NYSE,stock
CGAU,Centerra Gold Inc.,6.91,New York Stock Exchange,NYSE,stock
BRW, Saba Capital Income & Opportunities Fund,4.56,New York Stock Exchange,NYSE,fund
BAMR,Brookfield Asset Management Reinsurance Partners Ltd.,57.73,New York Stock Exchange,NYSE,stock
TOST,"Toast, Inc.",55.78,New York Stock Exchange,NYSE,stock
ESMT,"EngageSmart, LLC",0.0,New York Stock Exchange,NYSE,stock
NRDY,"Nerdy, Inc.",11.6,New York Stock Exchange,NYSE,stock
